article_id,Product_Name,Colour,Gender,Description
478944001,Boots,Black,Divided,Chelsea boots in leather with elastic gores in the side and a loop at the back. Fabric linings and insoles and rubber soles. Heel 2.5 cm.
481147001,Boots,Black,Divided,"Imitation leather ankle boots with pointed toes and open sections at the sides. Zip at the back and straps at the front, one with a metal buckle. Canvas linings and insoles and rubber soles. Heel 5.5 cm."
489217001,Boots,Black,Divided,"Ankle boots in imitation suede with lacing at the front, a loop at the back, pile linings and insoles and chunky rubber soles. Heel 3.5 cm."
489217003,Boots,Greenish Khaki,Divided,"Ankle boots in imitation suede with lacing at the front, a loop at the back, pile linings and insoles and chunky rubber soles. Heel 3.5 cm."
489217005,Boots,Light Beige,Divided,"Ankle boots in imitation suede with lacing at the front, a loop at the back, pile linings and insoles and chunky rubber soles. Heel 3.5 cm."
489217006,Boots,Dark Red,Divided,"Ankle boots in imitation suede with lacing at the front, a loop at the back, pile linings and insoles and chunky rubber soles. Heel 3.5 cm."
118458003,Trousers,Dark Grey,Menswear,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458004,Trousers,Grey,Menswear,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458028,Trousers,Black,Menswear,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458029,Trousers,Dark Grey,Menswear,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458034,Trousers,Pink,Menswear,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458038,Trousers,Black,Menswear,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458039,Trousers,Dark Blue,Menswear,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
150959011,Trousers,Black,Sport,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
150959013,Trousers,Dark Grey,Sport,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
156610001,Trousers,Black,Sport,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
156610007,Trousers,Black,Sport,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
156610010,Trousers,Black,Sport,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
186372011,Trousers,Black,Ladieswear,Harem trousers in jersey with elastication at the waist and hems.
186372042,Trousers,Dark Blue,Ladieswear,Harem trousers in jersey with elastication at the waist and hems.
186372045,Trousers,Dark Blue,Ladieswear,Harem trousers in jersey with elastication at the waist and hems.
212766041,Trousers,Greenish Khaki,Menswear,"Joggers in washed cotton twill with an elasticated drawstring waist, side and back pockets and elasticated hems. Loose fit."
212766042,Trousers,Dark Beige,Menswear,"Joggers in washed cotton twill with an elasticated drawstring waist, side and back pockets and elasticated hems. Loose fit."
212766043,Trousers,Black,Menswear,"Joggers in washed cotton twill with an elasticated drawstring waist, side and back pockets and elasticated hems. Loose fit."
212766045,Trousers,Dark Grey,Menswear,"Joggers in washed cotton twill with an elasticated drawstring waist, side and back pockets and elasticated hems. Loose fit."
212766046,Trousers,Dark Blue,Menswear,"Joggers in washed cotton twill with an elasticated drawstring waist, side and back pockets and elasticated hems. Loose fit."
189955076,T-shirt,Light Blue,Ladieswear,"Top in soft slub jersey with a fake front pocket, short sleeves with sewn-in turn-ups, and a rounded hem."
203027045,T-shirt,Off White,Divided,Short-sleeved top in jersey with sewn-in turn-ups on the sleeves.
203027047,T-shirt,White,Divided,Short-sleeved top in jersey with sewn-in turn-ups on the sleeves.
203027048,T-shirt,Yellow,Divided,Short-sleeved top in jersey with sewn-in turn-ups on the sleeves.
215248002,T-shirt,Black,Ladieswear,Fitted top in soft stretch jersey with a V-neck and short sleeves.
215337001,T-shirt,White,Divided,Short-sleeved jersey top with a chest pocket.
215337003,T-shirt,Black,Divided,Short-sleeved jersey top with a chest pocket.
215337038,T-shirt,Dark Purple,Divided,Short-sleeved jersey top with a chest pocket.
215337039,T-shirt,Greenish Khaki,Divided,Short-sleeved jersey top with a chest pocket.
215337059,T-shirt,Grey,Divided,Short-sleeved jersey top with a chest pocket.
215337066,T-shirt,Blue,Divided,Short-sleeved jersey top with a chest pocket.
215337067,T-shirt,Pink,Divided,Short-sleeved jersey top with a chest pocket.
240670058,T-shirt,Dark Blue,Divided,Long T-shirt in jersey with sewn-in turn-ups on the sleeves.
240670060,T-shirt,Light Orange,Divided,Long T-shirt in jersey with sewn-in turn-ups on the sleeves.
257667055,T-shirt,Light Orange,Ladieswear,Short-sleeved V-neck top in softly draping airy jersey with a slight sheen.
257667061,T-shirt,Dark Blue,Ladieswear,Short-sleeved V-neck top in softly draping airy jersey with a slight sheen.
294008009,T-shirt,Black,Ladieswear,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
294008036,T-shirt,Orange,Ladieswear,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
294008040,T-shirt,White,Ladieswear,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
294008042,T-shirt,Yellow,Ladieswear,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
192460006,Dress,Dark Grey,Divided,"Short, fine-knit dress with a hood, waterfall neckline and long sleeves. Unlined."
202017055,Dress,White,Ladieswear,Short-sleeved dress in slub jersey with an elasticated waist and side pockets.
212629004,Dress,Black,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629031,Dress,Dark Green,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629032,Dress,Dark Pink,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629033,Dress,White,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629035,Dress,Red,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629036,Dress,Greenish Khaki,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629040,Dress,Dark Red,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629043,Dress,Red,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629047,Dress,Greenish Khaki,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629048,Dress,Dark Pink,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629049,Dress,Orange,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629050,Dress,Grey,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629051,Dress,White,Divided,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
220094001,Dress,Black,Ladieswear,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.
220094010,Dress,Greenish Khaki,Ladieswear,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.
220094011,Dress,Dark Blue,Ladieswear,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.
220094015,Dress,Light Beige,Ladieswear,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.
220094016,Dress,Off White,Ladieswear,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.
203595034,Shirt,Dark Purple,Menswear,Shirt in checked flannel with a collar and chest pocket. Regular fit.
203595036,Shirt,Dark Yellow,Menswear,Shirt in checked flannel with a collar and chest pocket. Regular fit.
203595040,Shirt,Yellow,Menswear,Shirt in checked flannel with a collar and chest pocket. Regular fit.
203595048,Shirt,Dark Green,Menswear,Shirt in checked flannel with a collar and chest pocket. Regular fit.
203595058,Shirt,Dark Grey,Menswear,Shirt in checked flannel with a collar and chest pocket. Regular fit.
283236014,Shirt,Blue,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
283236018,Shirt,Dark Green,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
283236020,Shirt,Purple,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
283236022,Shirt,Light Yellow,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
283236023,Shirt,Light Turquoise,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
283236026,Shirt,Black,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
283236027,Shirt,Greenish Khaki,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
283236028,Shirt,Light Pink,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
283236029,Shirt,Red,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
283236034,Shirt,Beige,Menswear,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
392938001,Shirt,White,Menswear,"Shirt in a stretch premium cotton blend with a narrow turn-down collar, French front and long sleeves with adjustable buttoning at the cuffs. Shaping seams at the back and a rounded hem. Slim fit with narrow shoulders and a tapered waist to create a fitted silhouette."
392938002,Shirt,Black,Menswear,"Shirt in a stretch premium cotton blend with a narrow turn-down collar, French front and long sleeves with adjustable buttoning at the cuffs. Shaping seams at the back and a rounded hem. Slim fit with narrow shoulders and a tapered waist to create a fitted silhouette."
392938024,Shirt,Blue,Menswear,"Shirt in a stretch premium cotton blend with a narrow turn-down collar, French front and long sleeves with adjustable buttoning at the cuffs. Shaping seams at the back and a rounded hem. Slim fit with narrow shoulders and a tapered waist to create a fitted silhouette."
392938029,Shirt,Light Blue,Menswear,"Shirt in a stretch premium cotton blend with a narrow turn-down collar, French front and long sleeves with adjustable buttoning at the cuffs. Shaping seams at the back and a rounded hem. Slim fit with narrow shoulders and a tapered waist to create a fitted silhouette."
392938032,Shirt,Dark Red,Menswear,"Shirt in a stretch premium cotton blend with a narrow turn-down collar, French front and long sleeves with adjustable buttoning at the cuffs. Shaping seams at the back and a rounded hem. Slim fit with narrow shoulders and a tapered waist to create a fitted silhouette."
